timestamp,open,high,low,close,volume
2020-06-12,115.4600,115.8900,113.1300,115.1500,705462
2020-06-11,118.4900,118.8700,112.7200,113.2500,866339
2020-06-10,119.5700,120.8400,119.3800,120.0100,513052
2020-06-09,120.3600,121.1600,119.1500,120.0900,825896
2020-06-08,119.3700,121.6100,119.2700,121.3000,959198
2020-06-05,119.5400,120.2500,115.3300,119.9000,1076059
2020-06-04,119.1000,119.3700,116.4400,117.9300,601163
2020-06-03,119.9700,120.7250,118.3400,119.3400,702759
2020-06-02,119.2500,119.8000,118.2800,119.2400,519186
2020-06-01,119.3000,119.8650,117.2500,118.8800,929588
2020-05-29,116.3200,118.8300,115.7010,118.4600,831669
2020-05-28,116.3300,117.6500,115.5700,116.3700,714262
2020-05-27,117.7800,117.9900,114.2200,115.1900,845911
2020-05-26,118.4200,119.2700,116.0300,116.2800,611906
2020-05-22,114.0800,115.7900,113.8300,115.3400,440672
2020-05-21,113.8600,114.7000,113.0100,113.9900,721989
2020-05-20,112.9862,115.6050,112.9862,114.7100,531647
2020-05-19,114.2000,115.9860,112.4200,112.6300,636473
2020-05-18,114.9200,115.9100,113.8600,114.9400,865446
2020-05-15,109.7900,112.2450,108.6700,112.0800,2078513
2020-05-14,107.3500,109.6700,107.2500,109.4800,793188
2020-05-13,108.5200,110.3000,107.4500,108.8900,927749
2020-05-12,110.0000,110.4900,108.2000,108.5000,1070442
2020-05-11,105.9800,109.9500,105.8500,109.2400,683256
2020-05-08,109.2100,109.2858,107.0800,107.5900,895102
2020-05-07,106.7500,109.2200,106.4500,107.3300,633646
2020-05-06,109.7700,109.7700,105.6000,105.6300,710180
2020-05-05,107.5400,109.4750,105.9400,108.8300,966469
2020-05-04,105.8100,106.6300,104.3750,106.1300,722718
2020-05-01,107.0000,107.5400,105.8300,106.6200,730735
2020-04-30,108.7500,111.1400,108.3219,109.6700,694435
2020-04-29,112.7500,113.2300,111.2200,111.6000,826984
2020-04-28,113.5300,114.4200,110.6510,111.2100,1006246
2020-04-27,107.1100,111.8900,107.0000,111.6300,922622
2020-04-24,104.7700,105.7500,102.9700,105.6300,843641
2020-04-23,106.9700,106.9700,102.8200,103.8500,905068
2020-04-22,108.5000,108.5000,102.8000,104.6300,1362675
2020-04-21,107.7200,108.8550,104.7600,105.2700,968382
2020-04-20,109.7700,110.8800,108.7600,109.7800,922808
2020-04-17,111.1000,111.9100,109.3800,111.2400,773808
2020-04-16,106.8900,108.9300,106.5000,108.3100,722799
2020-04-15,106.1100,108.1100,104.6100,106.0000,829912
2020-04-14,105.6500,107.8800,104.2700,107.5600,1384606
2020-04-13,105.2900,106.9900,102.6700,103.2900,805704
2020-04-09,104.7800,108.5900,104.7800,107.9200,740595
2020-04-08,101.5300,104.8100,101.2300,104.1300,744873
2020-04-07,104.7200,107.1100,100.2200,100.9400,1125513
2020-04-06,99.8900,102.2700,98.0701,101.5900,916794
2020-04-03,94.5300,95.9150,93.5700,95.2200,851950
2020-04-02,92.0500,94.4500,90.3300,93.9600,1237053
2020-04-01,90.1200,93.2850,90.0000,92.2700,1058775
2020-03-31,99.5200,100.4000,94.5750,94.9500,1515754
2020-03-30,94.0300,99.8300,92.8100,99.4400,1437366
2020-03-27,90.0400,95.4400,89.2800,92.7800,1127261
2020-03-26,88.0500,96.0900,88.0500,93.8200,1699275
2020-03-25,82.9900,91.0200,82.2800,86.9600,1969122
2020-03-24,76.9100,83.1900,76.3900,82.9900,1975431
2020-03-23,80.5700,80.5700,71.6600,72.8600,1794010
2020-03-20,89.8200,89.8200,79.6700,80.5000,2161498
2020-03-19,91.7700,92.6000,85.5200,88.0000,1753455
2020-03-18,90.4400,95.4906,89.1500,91.5700,2265847
2020-03-17,87.4700,95.8800,87.0000,95.0300,2225360
2020-03-16,87.0000,92.7800,83.3500,85.3100,1417171
2020-03-13,93.1500,96.3700,85.7150,96.0500,1680944
2020-03-12,91.4300,93.3200,88.3000,88.6300,1766554
2020-03-11,101.8600,101.9600,97.7900,99.3200,1829395
2020-03-10,108.3200,108.7900,102.1950,104.7000,1989058
2020-03-09,102.7200,108.4200,102.4600,105.7200,1434162
2020-03-06,110.8700,112.2900,107.6700,110.5000,1260001
2020-03-05,112.5700,114.5900,111.5909,114.1000,1645087
2020-03-04,112.1700,116.5500,110.5000,116.3700,1206509
2020-03-03,110.7400,114.0700,109.1300,110.0700,1317220
2020-03-02,103.0000,110.3500,103.0000,110.1200,1264051
2020-02-28,105.2300,105.4500,100.4700,102.5500,2281039
2020-02-27,112.0000,112.5050,107.3200,107.4500,1342533
2020-02-26,112.4700,114.6600,112.4700,113.0200,948139
2020-02-25,114.9100,115.3200,111.8500,112.4100,963578
2020-02-24,112.8400,115.4200,112.3900,114.7400,1217761
2020-02-21,114.2400,115.4500,113.9900,115.1800,2527232
2020-02-20,115.5500,115.8000,113.3200,114.4900,692278
2020-02-19,115.9700,117.3300,115.2000,115.2700,726409
2020-02-18,113.5000,116.1600,113.1300,115.6700,1085103
2020-02-14,114.6400,116.2500,114.6400,116.2000,530378
